year_month,geography,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance,prod_total_volume,california,chile,mexico,peru,colombia
2018-02-01,NewYork,2,2018-02-25,7519439.89,8829220.41,0.174185915,9683395.88,11441551.06,0.181563906,1.28778154,1.295873308,0.006283495,53018743,5031685,0,47987058,0,0
2018-02-01,LosAngeles,2,2018-02-25,12153402.85,14455880.79,0.189451298,10465082.71,13116340.41,0.253343215,0.861082516,0.907335956,0.053715455,53018743,5031685,0,47987058,0,0
2018-03-01,Atlanta,3,2018-03-25,1746614.74,2727814.6,0.561772346,2462350.38,2783083.09,0.1302547,1.409784495,1.020261087,-0.276299966,45807126,4997613,0,40809513,0,0
2018-03-01,SanDiego,3,2018-03-25,1721875.14,2187700.25,0.270533617,2359052.91,2427241.48,0.028905062,1.370048766,1.109494539,-0.190178797,45807126,4997613,0,40809513,0,0
2018-03-01,Columbus,3,2018-03-25,597610.77,959610.59,0.605745141,817497.51,989827.63,0.210802012,1.367943068,1.031488856,-0.245956297,45807126,4997613,0,40809513,0,0
2018-03-01,SouthCarolina,3,2018-03-25,1332847,2001382.05,0.50158424,1908084.26,2284932.74,0.197500964,1.431585366,1.141677442,-0.202508303,45807126,4997613,0,40809513,0,0
2018-03-01,Raleigh/Greensboro,3,2018-03-25,1205727.79,1695265.16,0.406009859,1679034.26,1966135.08,0.170991639,1.392548363,1.159780267,-0.167152612,45807126,4997613,0,40809513,0,0
2018-03-01,Detroit,3,2018-03-25,1114751.4,1875599.66,0.682527297,1650910.2,2152313.28,0.303713115,1.480967147,1.147533413,-0.225145935,45807126,4997613,0,40809513,0,0
2018-03-01,West,3,2018-03-25,23993399.17,30318720.97,0.263627582,27885237.69,30132179.89,0.080578198,1.16220455,0.99384733,-0.144860231,45807126,4997613,0,40809513,0,0
2018-03-01,Syracuse,3,2018-03-25,319943.97,374127.08,0.169351871,448568.78,422703.6,-0.05766157,1.402022923,1.129839626,-0.194136125,45807126,4997613,0,40809513,0,0
2018-03-01,WestTex/NewMexico,3,2018-03-25,3330680.43,3761304.99,0.129290266,3142262.05,3435256.3,0.093243099,0.943429463,0.913315009,-0.031920197,45807126,4997613,0,40809513,0,0
2018-03-01,Jacksonville,3,2018-03-25,582280.07,892824.36,0.533324608,930196.27,1053222.15,0.13225798,1.597506626,1.179652121,-0.26156668,45807126,4997613,0,40809513,0,0
2018-03-01,Orlando,3,2018-03-25,1170723.33,2044347.33,0.74622584,1832225.9,2397265.13,0.3083895,1.565037488,1.172631037,-0.25073294,45807126,4997613,0,40809513,0,0
2018-03-01,Pittsburgh,3,2018-03-25,538019.41,624526.88,0.160788753,659403.09,736668.98,0.117175505,1.225612083,1.179563288,-0.03757208,45807126,4997613,0,40809513,0,0
2018-03-01,NewYork,3,2018-03-25,5477683.61,7573763.02,0.382657992,8920092.37,10321428.27,0.15709881,1.628442423,1.362787328,-0.163134472,45807126,4997613,0,40809513,0,0
2018-03-01,GrandRapids,3,2018-03-25,544339.33,735639.34,0.351435216,924732.23,1084728.51,0.173019037,1.698815755,1.474538474,-0.132019779,45807126,4997613,0,40809513,0,0
2018-03-01,Portland,3,2018-03-25,2252868.07,2755709.21,0.223200438,3006258.77,3072766.87,0.022123212,1.334414034,1.115054832,-0.164386163,45807126,4997613,0,40809513,0,0
2018-03-01,TotalUS,3,2018-03-25,126655977.1,172118191,0.358942507,166919234.7,185552627.1,0.111631187,1.317894651,1.078053552,-0.181988067,45807126,4997613,0,40809513,0,0
2018-03-01,Indianapolis,3,2018-03-25,596032.55,909466.78,0.525867639,954695.44,953072,-0.001700479,1.601750508,1.047945918,-0.345749595,45807126,4997613,0,40809513,0,0
2018-03-01,Dallas/FtWorth,3,2018-03-25,4310451.77,6094290,0.413840202,4436308.53,5005614.03,0.128328653,1.029198044,0.821361312,-0.201940465,45807126,4997613,0,40809513,0,0
2018-03-01,Boston,3,2018-03-25,2203142.29,2937168.2,0.333172266,3283569.95,3689026.93,0.123480537,1.490403032,1.255980822,-0.157287798,45807126,4997613,0,40809513,0,0
2018-03-01,Spokane,3,2018-03-25,356570.39,393486.33,0.103530582,445426.67,480339.07,0.07837968,1.249197024,1.220726194,-0.022791305,45807126,4997613,0,40809513,0,0
2018-03-01,Albany,3,2018-03-25,428197.68,545890.39,0.27485602,536982.97,630076.44,0.173363915,1.254053899,1.154217864,-0.079610641,45807126,4997613,0,40809513,0,0
2018-03-01,Chicago,3,2018-03-25,2858178.64,3517648.79,0.230730907,4724894.21,5191399.8,0.098733552,1.65311368,1.47581527,-0.10725119,45807126,4997613,0,40809513,0,0
