year_month,date,status,prod_total_volume,location,prod_volume
2020-08-01,2020-08-16,actual,45333672,mexico,28246903
2019-04-01,2019-04-14,actual,71757754,mexico,60654534
2020-08-01,2020-08-23,actual,54176904,mexico,39333180
2019-07-01,2019-07-14,actual,54169319,peru,17398633
2018-11-01,2018-11-11,actual,7175415,peru,0
2018-04-01,2018-04-15,actual,65017211,peru,0
2018-10-01,2018-10-21,actual,41484288,peru,0
2020-05-01,2020-05-31,actual,51667453,peru,4171879
2018-11-01,2018-11-25,actual,70104497,peru,0
2018-02-01,2018-02-04,actual,47371481,peru,0
2018-03-01,2018-03-11,actual,52057338,peru,0
2018-03-01,2018-03-25,actual,45807126,peru,0
2019-03-01,2019-03-03,actual,56315469,peru,0
2020-10-01,2020-10-04,actual,52210342,peru,0
2019-12-01,2019-12-15,actual,48427351,peru,0
2019-02-01,2019-02-03,actual,45231823,peru,0
2018-07-01,2018-07-29,actual,49443206,peru,16879405
2018-05-01,2018-05-20,actual,54804644,peru,284446
2019-04-01,2019-04-28,actual,43710990,peru,805931
2020-06-01,2020-06-14,actual,64385710,peru,11425260
2019-05-01,2019-05-12,actual,45314468,peru,1754085
2019-09-01,2019-09-01,actual,37090495,peru,3365948
2019-03-01,2019-03-24,actual,47860338,peru,0
2019-08-01,2019-08-11,actual,30887574,peru,7490420
2018-06-01,2018-06-17,actual,50646896,peru,6868495
2018-07-01,2018-07-22,actual,43482853,peru,12088968
2019-11-01,2019-11-10,actual,43217649,peru,0
2019-04-01,2019-04-21,actual,41226066,peru,189631
2018-06-01,2018-06-10,actual,54216347,peru,5580178
2018-01-01,2018-01-07,actual,45670156,peru,0
2019-08-01,2019-08-25,actual,48325702,peru,3745210
2018-05-01,2018-05-27,actual,58216425,peru,1996296
2020-07-01,2020-07-19,actual,55528282,peru,16023808
2019-10-01,2019-10-06,actual,48828843,peru,0
2020-10-01,2020-10-11,actual,56934734,peru,0
2018-04-01,2018-04-22,actual,66889496,peru,0
2018-04-01,2018-04-01,actual,39158603,peru,0
2018-12-01,2018-12-09,actual,55009729,peru,0
2018-09-01,2018-09-23,actual,49322205,peru,3892173
2019-12-01,2019-12-08,actual,55662831,peru,0
2020-11-01,2020-11-08,actual,42783020,peru,0
